name	version
Additionalpipes	4.7.7
AdvancedSolarPanel	3.5.1
Bamboo	2.6.8.5
BedrockLayer	1.0.9
Buildcraft	7.1.23
CutAllSMP	2.5.0
CodeChickenCore	1.0.7.47-universal
CoFHCore	3.1.4-329
CompactEngine	7.1.14-2
CompactSolars	4.4.41.316-universal
CraftGuide	1.7.1.0-forge
DigAllSMP	2.3.0
EnderIO	2.2.8.381
ExtraTanks	for 7.1.14
Industrialcraft2	2.2.828-experimental
InfinityChest	1.2.8
Journeymap	5.1.4p2-unlimited
LittleMaidMobX	0.1.3a
Logisticspipes	0.9.3.132
MineAllSMP	2.6.1
MineFactoryReloaded	2.8.2B1-201
MultipleCamera	1.0.0
OldMassFabricator	1.1.3
OptiFine	HD_U_E7
PEAA	1.5.3
ProjectE	PE1.10.1
Projectred	4.7.0pre12.95-Base
Projectred	4.7.0pre12.95-Fabrication
Projectred	4.7.0pre12.95-Integration
Projectred	4.7.0pre12.95-Lighting
Projectred	4.7.0pre12.95-Mechanical
Railcraft	9.12.2.1
SlashBlade	r87
SpawnChecker	2.1.4.128
StorageBox	3.0.5
VisibleRayGenerator	4.9.2-3
Waila	1.5.10
WailaHarvestability	4.9.2-3
Wawla	1.0.5.120
WR-CBE	1.4.1.11-universal
